director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,genres_str
Carson D. Mell,Steve Zissis,Mark Proksch,Jennifer Irwin,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",another evil,Steve Zissis Mark Proksch Jennifer Irwin Carson D. Mell Comedy Horror,Comedy Horror
Joe Swanberg,Jake Johnson,Aislinn Derbez,Joe Lo Truglio,"[{'id': 35, 'name': 'Comedy'}]",win it all,Jake Johnson Aislinn Derbez Joe Lo Truglio Joe Swanberg Comedy,Comedy
David Soren,Kevin Hart,Ed Helms,Thomas Middleditch,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",captain underpants: the first epic movie,Kevin Hart Ed Helms Thomas Middleditch David Soren Action Animation Comedy Family,Action Animation Comedy Family
Carlos Bolado,Martha Higareda,Alfonso Dosal,Christian Vazquez,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",3 idiotas,Martha Higareda Alfonso Dosal Christian Vazquez Carlos Bolado Family Comedy,Family Comedy
Zoe Lister-Jones,Zoe Lister-Jones,Adam Pally,Fred Armisen,"[{'id': 35, 'name': 'Comedy'}]",band aid,Zoe Lister-Jones Adam Pally Fred Armisen Zoe Lister-Jones Comedy,Comedy
Trey Edward Shults,Joel Edgerton,Christopher Abbott,Carmen Ejogo,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",it comes at night,Joel Edgerton Christopher Abbott Carmen Ejogo Trey Edward Shults Horror Mystery Thriller,Horror Mystery Thriller
Gabriela Cowperthwaite,Kate Mara,Ramón Rodríguez,Tom Felton,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",megan leavey,Kate Mara Ramón Rodríguez Tom Felton Gabriela Cowperthwaite Drama War,Drama War
Roger Michell,Rachel Weisz,Sam Claflin,Holliday Grainger,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",my cousin rachel,Rachel Weisz Sam Claflin Holliday Grainger Roger Michell Drama Romance,Drama Romance
Doug Archibald,Artemis Pebdani,Sasha Mitchell,Angela Trimbur,"[{'id': 35, 'name': 'Comedy'}]",i love you both,Artemis Pebdani Sasha Mitchell Angela Trimbur Doug Archibald Comedy,Comedy
Ari Issler Ben Snyder,Victor Almanzar,Shirley Rumierk,Elizabeth Rodriguez,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",11:55,Victor Almanzar Shirley Rumierk Elizabeth Rodriguez Ari Issler Ben Snyder Drama Crime,Drama Crime
Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",cars 3,Owen Wilson Cristela Alonzo Chris Cooper Brian Fee Family Comedy Animation Adventure,Family Comedy Animation Adventure
Aisling Walsh,Sally Hawkins,Ethan Hawke,Gabrielle Rose,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",maudie,Sally Hawkins Ethan Hawke Gabrielle Rose Aisling Walsh Drama History Romance,Drama History Romance
Takanori Tsujimoto,Kevin Dorman,Matthew Mercer,Erin Cahill,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",resident evil: vendetta,Kevin Dorman Matthew Mercer Erin Cahill Takanori Tsujimoto Action Adventure Animation Horror Mystery Science Fiction,Action Adventure Animation Horror Mystery Science Fiction
Fred Wolf,Leah Remini,Charlotte McKinney,Charlie Sheen,"[{'id': 35, 'name': 'Comedy'}]",mad families,Leah Remini Charlotte McKinney Charlie Sheen Fred Wolf Comedy,Comedy
Luc Bondy,Isabelle Huppert,Louis Garrel,Bulle Ogier,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",false confessions,Isabelle Huppert Louis Garrel Bulle Ogier Luc Bondy Drama Comedy,Drama Comedy
James Nunn,Mike Mizanin,Anna Van Hooft,Maryse Ouellet Mizanin,"[{'id': 28, 'name': 'Action'}]",the marine 5: battleground,Mike Mizanin Anna Van Hooft Maryse Ouellet Mizanin James Nunn Action,Action
Robert Conway,Monica Engesser,Clint James,Maria Olsen,"[{'id': 27, 'name': 'Horror'}]",the covenant,Monica Engesser Clint James Maria Olsen Robert Conway Horror,Horror
Savage Steve Holland,Jace Norman,Davis Cleveland,Haley Tju,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",rufus 2,Jace Norman Davis Cleveland Haley Tju Savage Steve Holland Family Fantasy Comedy,Family Fantasy Comedy
Colin Trevorrow,Naomi Watts,Jaeden Lieberher,Jacob Tremblay,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",the book of henry,Naomi Watts Jaeden Lieberher Jacob Tremblay Colin Trevorrow Thriller Drama Crime,Thriller Drama Crime
Brett Haley,Sam Elliott,Laura Prepon,Nick Offerman,"[{'id': 18, 'name': 'Drama'}]",the hero,Sam Elliott Laura Prepon Nick Offerman Brett Haley Drama,Drama
Matt Tyrnauer,Thomas Campanella,Mindy Fullilove,Alexander Garvin,"[{'id': 99, 'name': 'Documentary'}]",citizen jane: battle for the city,Thomas Campanella Mindy Fullilove Alexander Garvin Matt Tyrnauer Documentary,Documentary
Doug Liman,Aaron Taylor-Johnson,John Cena,Laith Nakli,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",the wall,Aaron Taylor-Johnson John Cena Laith Nakli Doug Liman Drama Thriller War,Drama Thriller War
Salamat Mukhammed-Ali,Armand Assante,Karlygash Mukhamedzhanova,Alexey Frandetti,"[{'id': 28, 'name': 'Action'}]",diamond cartel,Armand Assante Karlygash Mukhamedzhanova Alexey Frandetti Salamat Mukhammed-Ali Action,Action
Justin Barber,Florence Hartigan,Jeanine Jackson,Chelsea Lopez,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]",phoenix forgotten,Florence Hartigan Jeanine Jackson Chelsea Lopez Justin Barber Horror Mystery Science Fiction,Horror Mystery Science Fiction
Eduardo Casanova,Jon Kortajarena,Candela Peña,Ana Polvorosa,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",skins,Jon Kortajarena Candela Peña Ana Polvorosa Eduardo Casanova Drama Comedy,Drama Comedy
George C. Wolfe,Rose Byrne,Renée Elise Goldsberry,Oprah Winfrey,"[{'id': 18, 'name': 'Drama'}]",the immortal life of henrietta lacks,Rose Byrne Renée Elise Goldsberry Oprah Winfrey George C. Wolfe Drama,Drama
Jason Connery,Peter Mullan,Jack Lowden,Ophelia Lovibond,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tommy's honour,Peter Mullan Jack Lowden Ophelia Lovibond Jason Connery Drama Romance,Drama Romance
John Butler,Nicholas Galitzine,Fionn O'Shea,Moe Dunford,"[{'id': 18, 'name': 'Drama'}]",handsome devil,Nicholas Galitzine Fionn O'Shea Moe Dunford John Butler Drama,Drama
Ricardo de Montreuil,Demián Bichir,Gabriel Chavarria,Theo Rossi,"[{'id': 18, 'name': 'Drama'}]",lowriders,Demián Bichir Gabriel Chavarria Theo Rossi Ricardo de Montreuil Drama,Drama
Stefan Ruzowitzky,Violetta Schurawlow,Tobias Moretti,Robert Palfrader,"[{'id': 53, 'name': 'Thriller'}]",cold hell,Violetta Schurawlow Tobias Moretti Robert Palfrader Stefan Ruzowitzky Thriller,Thriller
Vincent J. Guastini Michael McQuown,Cortney Palm,David Hull,Emilia Zoryan,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",the dark tapes,Cortney Palm David Hull Emilia Zoryan Vincent J. Guastini Michael McQuown Horror Science Fiction Thriller,Horror Science Fiction Thriller
Liam O'Donnell,Frank Grillo,Bojana Novaković,Iko Uwais,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",beyond skyline,Frank Grillo Bojana Novaković Iko Uwais Liam O'Donnell Action Science Fiction,Action Science Fiction
Gregori Viens,Henry Phillips,J.K. Simmons,Sarah Silverman,"[{'id': 35, 'name': 'Comedy'}]",punching henry,Henry Phillips J.K. Simmons Sarah Silverman Gregori Viens Comedy,Comedy
Ken Marino,Eugenio Derbez,Salma Hayek,Rob Lowe,"[{'id': 35, 'name': 'Comedy'}]",how to be a latin lover,Eugenio Derbez Salma Hayek Rob Lowe Ken Marino Comedy,Comedy
Michael Winterbottom,Steve Coogan,Rob Brydon,Claire Keelan,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",the trip to spain,Steve Coogan Rob Brydon Claire Keelan Michael Winterbottom Drama Comedy,Drama Comedy
Dave McCary,Kyle Mooney,Claire Danes,Mark Hamill,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",brigsby bear,Kyle Mooney Claire Danes Mark Hamill Dave McCary Comedy Drama,Comedy Drama
Derik Murray Adrian Buitenhuis,Heath Ledger,Kate Ledger,Kim Ledger,"[{'id': 99, 'name': 'Documentary'}]",i am heath ledger,Heath Ledger Kate Ledger Kim Ledger Derik Murray Adrian Buitenhuis Documentary,Documentary
Fernando Coimbra,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",sand castle,Nicholas Hoult Logan Marshall-Green Henry Cavill Fernando Coimbra Drama War,Drama War
Robert Dyke,Sarah Butler,Damon Dayoub,Charles Shaughnessy,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",moontrap: target earth,Sarah Butler Damon Dayoub Charles Shaughnessy Robert Dyke Action Science Fiction Adventure,Action Science Fiction Adventure
Roman Karimov,Efim Petrunin,Lyubov Aksyonova,Sofya Rayzman,"[{'id': 35, 'name': 'Comedy'}]","have fun, vasya!",Efim Petrunin Lyubov Aksyonova Sofya Rayzman Roman Karimov Comedy,Comedy
Park Kwang-hyun,Ji Chang-wook,Shim Eun-kyung,Ahn Jae-hong,"[{'id': 28, 'name': 'Action'}]",fabricated city,Ji Chang-wook Shim Eun-kyung Ahn Jae-hong Park Kwang-hyun Action,Action
Michael Apted,Noomi Rapace,Orlando Bloom,Michael Douglas,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",unlocked,Noomi Rapace Orlando Bloom Michael Douglas Michael Apted Action Thriller,Action Thriller
Eric D. Howell,Emilia Clarke,Marton Csokas,Caterina Murino,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",voice from the stone,Emilia Clarke Marton Csokas Caterina Murino Eric D. Howell Drama Mystery Romance Thriller,Drama Mystery Romance Thriller
E.L. Katz,Nikolaj Coster-Waldau,Jacki Weaver,Robert Forster,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",small crimes,Nikolaj Coster-Waldau Jacki Weaver Robert Forster E.L. Katz Drama Comedy Thriller Crime,Drama Comedy Thriller Crime
Murat Kepez,Çaglar Çorumlu,Büşra Pekin,Mahir Ipek,"[{'id': 35, 'name': 'Comedy'}]",kolonya cumhuriyeti,Çaglar Çorumlu Büşra Pekin Mahir Ipek Murat Kepez Comedy,Comedy
Mark Lamprell,Dacre Montgomery,Xavier Samuel,Kris Marshall,"[{'id': 35, 'name': 'Comedy'}]",a few less men,Dacre Montgomery Xavier Samuel Kris Marshall Mark Lamprell Comedy,Comedy
Richard Sears,Jena Malone,Douglas Smith,Ted Levine,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",bottom of the world,Jena Malone Douglas Smith Ted Levine Richard Sears Drama Mystery Thriller,Drama Mystery Thriller
Simon West,Dominic Cooper,Gemma Chan,Connie Nielsen,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",stratton,Dominic Cooper Gemma Chan Connie Nielsen Simon West Action Thriller,Action Thriller
Azazel Jacobs,Debra Winger,Tracy Letts,Aidan Gillen,"[{'id': 35, 'name': 'Comedy'}]",the lovers,Debra Winger Tracy Letts Aidan Gillen Azazel Jacobs Comedy,Comedy
S.S. Rajamouli,Prabhas,Rana Daggubati,Sathyaraj,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",baahubali 2: the conclusion,Prabhas Rana Daggubati Sathyaraj S.S. Rajamouli Action Adventure History War,Action Adventure History War
Juanita Wilson,Julia Garner,Jake Weary,Anna Friel,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tomato red,Julia Garner Jake Weary Anna Friel Juanita Wilson Drama Thriller,Drama Thriller
Grant Humphreys,Ronan Quarmby,Brad Richards,Barbara Harrison,"[{'id': 878, 'name': 'Science Fiction'}]",taking earth,Ronan Quarmby Brad Richards Barbara Harrison Grant Humphreys Science Fiction,Science Fiction
Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,"[{'id': 35, 'name': 'Comedy'}]",omicidio all'italiana,Maccio Capatonda Maccio Capatonda Maccio Capatonda Maccio Capatonda Comedy,Comedy
Joseph Cedar,Richard Gere,Lior Ashkenazi,Michael Sheen,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",norman: the moderate rise and tragic fall of a new york fixer,Richard Gere Lior Ashkenazi Michael Sheen Joseph Cedar Comedy Thriller Drama,Comedy Thriller Drama
Jamie Cymbal Ryan Simons,Jimmy Allen,Lindsay Bennett,Chris Blackwood,"[{'id': 27, 'name': 'Horror'}]",seizure,Jimmy Allen Lindsay Bennett Chris Blackwood Jamie Cymbal Ryan Simons Horror,Horror
Franck Khalfoun,Bella Thorne,Cameron Monaghan,Jennifer Morrison,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",amityville: the awakening,Bella Thorne Cameron Monaghan Jennifer Morrison Franck Khalfoun Thriller Horror,Thriller Horror
Sofia Coppola,Colin Farrell,Nicole Kidman,Kirsten Dunst,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",the beguiled,Colin Farrell Nicole Kidman Kirsten Dunst Sofia Coppola Drama Western,Drama Western
Sierra Pettengill Pacho Velez,Ronald Reagan,Nancy Reagan,Barbara Walters,"[{'id': 99, 'name': 'Documentary'}]",the reagan show,Ronald Reagan Nancy Reagan Barbara Walters Sierra Pettengill Pacho Velez Documentary,Documentary
Edgar Wright,Ansel Elgort,Lily James,Kevin Spacey,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",baby driver,Ansel Elgort Lily James Kevin Spacey Edgar Wright Action Crime,Action Crime
Bong Joon-ho,Tilda Swinton,Paul Dano,Ahn Seo-hyun ,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",okja,Tilda Swinton Paul Dano Ahn Seo-hyun  Bong Joon-ho Adventure Drama Fantasy Science Fiction,Adventure Drama Fantasy Science Fiction
Jay Woelfel,Tim Thomerson,Richard Hatch,Tiffany Shepis,"[{'id': 27, 'name': 'Horror'}]",asylum of darkness,Tim Thomerson Richard Hatch Tiffany Shepis Jay Woelfel Horror,Horror
Lucia Aniello,Scarlett Johansson,Jillian Bell,Kate McKinnon,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",rough night,Scarlett Johansson Jillian Bell Kate McKinnon Lucia Aniello Drama Comedy,Drama Comedy
Sean Foley,Julian Barratt,Simon Farnaby,Essie Davis,"[{'id': 35, 'name': 'Comedy'}]",mindhorn,Julian Barratt Simon Farnaby Essie Davis Sean Foley Comedy,Comedy
Kevin Macdonald,Richard Madden,Flora Spencer-Longhurst,Moshidi Motshegwa,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",oasis,Richard Madden Flora Spencer-Longhurst Moshidi Motshegwa Kevin Macdonald TV Movie Drama Science Fiction,TV Movie Drama Science Fiction
Vlad Yudin,Calum Von Moger,Kai Greene,Rich Piana,"[{'id': 99, 'name': 'Documentary'}]",generation iron 2,Calum Von Moger Kai Greene Rich Piana Vlad Yudin Documentary,Documentary
Amariah Olson Obin Olson,Jonathan Rhys Meyers,Cam Gigandet,Michael Biehn,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",the shadow effect,Jonathan Rhys Meyers Cam Gigandet Michael Biehn Amariah Olson Obin Olson Science Fiction Action Thriller,Science Fiction Action Thriller
Deven Bhojani,Vidyut Jamwal,Adah Sharma,Freddy Daruwala,"[{'id': 28, 'name': 'Action'}]",commando 2: the black money trail,Vidyut Jamwal Adah Sharma Freddy Daruwala Deven Bhojani Action,Action
Avgousta Zourelidi,Katy Townsend,Debi Derryberry,Cassandra Morris,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",monster high: electrified,Katy Townsend Debi Derryberry Cassandra Morris Avgousta Zourelidi Family Animation,Family Animation
Geremy Jasper,Danielle Macdonald,Bridget Everett,Siddharth Dhananjay,"[{'id': 18, 'name': 'Drama'}]",patti cake$,Danielle Macdonald Bridget Everett Siddharth Dhananjay Geremy Jasper Drama,Drama
Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,"[{'id': 18, 'name': 'Drama'}]",loveless,Maryana Spivak Aleksey Rozin Matvey Novikov Andrey Zvyagintsev Drama,Drama
Mel Damski,Lacey Chabert,Carlo Marks,Jesse Moss,"[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",moonlight in vermont,Lacey Chabert Carlo Marks Jesse Moss Mel Damski Romance TV Movie,Romance TV Movie
Jeff Garlin,Jeff Garlin,Natasha Lyonne,Chris Redd,"[{'id': 35, 'name': 'Comedy'}]",handsome: a netflix mystery movie,Jeff Garlin Natasha Lyonne Chris Redd Jeff Garlin Comedy,Comedy
Don Argott Sheena M. Joyce,Michael Uslan,Roy Thomas,Marc Tyler Nobleman,"[{'id': 99, 'name': 'Documentary'}]",batman & bill,Michael Uslan Roy Thomas Marc Tyler Nobleman Don Argott Sheena M. Joyce Documentary,Documentary
Ivan Silvestrini,Katrina Bowden,Jay Hayden,Damon Dayoub,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",monolith,Katrina Bowden Jay Hayden Damon Dayoub Ivan Silvestrini Drama Thriller,Drama Thriller
Tony E. Valenzuela,Robert Adamson,Alex Frnka,Conchata Ferrell,"[{'id': 27, 'name': 'Horror'}]",the axe murders of villisca,Robert Adamson Alex Frnka Conchata Ferrell Tony E. Valenzuela Horror,Horror
Brian Crano,Rebecca Hall,Jason Sudeikis,Dan Stevens,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",permission,Rebecca Hall Jason Sudeikis Dan Stevens Brian Crano Comedy Romance,Comedy Romance
Arnaud Desplechin,Mathieu Amalric,Marion Cotillard,Charlotte Gainsbourg,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",ismael's ghosts,Mathieu Amalric Marion Cotillard Charlotte Gainsbourg Arnaud Desplechin Drama Romance Thriller,Drama Romance Thriller
Jonathan Mostow,Sam Worthington,Odeya Rush,Amy Landecker,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",the hunter's prayer,Sam Worthington Odeya Rush Amy Landecker Jonathan Mostow Action Thriller,Action Thriller
Lucien Jean-Baptiste,Lucien Jean-Baptiste,Aïssa Maïga,Vincent Elbaz,"[{'id': 35, 'name': 'Comedy'}]",he even has your eyes,Lucien Jean-Baptiste Aïssa Maïga Vincent Elbaz Lucien Jean-Baptiste Comedy,Comedy
Miguel Arteta,Salma Hayek,John Lithgow,Connie Britton,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",beatriz at dinner,Salma Hayek John Lithgow Connie Britton Miguel Arteta Comedy Drama,Comedy Drama
Dylan Bank Morgan Pehme Daniel DiMauro,Roger Stone,Donald Trump,Paul Manafort,"[{'id': 99, 'name': 'Documentary'}]",get me roger stone,Roger Stone Donald Trump Paul Manafort Dylan Bank Morgan Pehme Daniel DiMauro Documentary,Documentary
Robert Kirbyson,John Hennigan,Spencer Grammer,Lorenzo Lamas,"[{'id': 28, 'name': 'Action'}]",boone: the bounty hunter,John Hennigan Spencer Grammer Lorenzo Lamas Robert Kirbyson Action,Action
Kyle Balda Pierre Coffin,Steve Carell,Kristen Wiig,Trey Parker,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",despicable me 3,Steve Carell Kristen Wiig Trey Parker Kyle Balda Pierre Coffin Action Animation Adventure Family Comedy,Action Animation Adventure Family Comedy
Hope Dickson Leach,Ellie Kendrick,David Troughton,Jack Holden,"[{'id': 18, 'name': 'Drama'}]",the levelling,Ellie Kendrick David Troughton Jack Holden Hope Dickson Leach Drama,Drama
Alexi Pappas Jeremy Teicher,Alexi Pappas,Chase Offerle,Rebecca Friday,"[{'id': 18, 'name': 'Drama'}]",tracktown,Alexi Pappas Chase Offerle Rebecca Friday Alexi Pappas Jeremy Teicher Drama,Drama
Rupert Goold,Tim Pigott-Smith,Charlotte Riley,Oliver Chris,"[{'id': 18, 'name': 'Drama'}]",king charles iii,Tim Pigott-Smith Charlotte Riley Oliver Chris Rupert Goold Drama,Drama
Lucas Pavetto,Bill Moseley,Gabriella Wright,John Robinson,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",alcoholist,Bill Moseley Gabriella Wright John Robinson Lucas Pavetto Drama Thriller,Drama Thriller
Phillip Guzman,Lori Petty,Jesse Bradford,Brea Grant,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",dead awake,Lori Petty Jesse Bradford Brea Grant Phillip Guzman Horror Thriller,Horror Thriller
Martin Provost,Catherine Frot,Catherine Deneuve,Olivier Gourmet,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",the midwife,Catherine Frot Catherine Deneuve Olivier Gourmet Martin Provost Comedy Drama,Comedy Drama
Mark Williams,Gerard Butler,Gretchen Mol,Willem Dafoe,"[{'id': 18, 'name': 'Drama'}]",a family man,Gerard Butler Gretchen Mol Willem Dafoe Mark Williams Drama,Drama
Barry Levinson,Robert De Niro,Michelle Pfeiffer,Hank Azaria,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}]",the wizard of lies,Robert De Niro Michelle Pfeiffer Hank Azaria Barry Levinson Crime Drama History TV Movie,Crime Drama History TV Movie
Hiroyuki Seshita,Takahiro Sakurai,Kana Hanazawa,Sora Amamiya,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",blame!,Takahiro Sakurai Kana Hanazawa Sora Amamiya Hiroyuki Seshita Action Animation Drama Horror Science Fiction,Action Animation Drama Horror Science Fiction
Peter Malota,Jean-Claude Van Damme,Peter Stormare,María Conchita Alonso,"[{'id': 28, 'name': 'Action'}]",kill 'em all,Jean-Claude Van Damme Peter Stormare María Conchita Alonso Peter Malota Action,Action
Tim Smit,Dan Stevens,Bérénice Marlohe,Charity Wakefield,"[{'id': 878, 'name': 'Science Fiction'}]",kill switch,Dan Stevens Bérénice Marlohe Charity Wakefield Tim Smit Science Fiction,Science Fiction
Ana Lily Amirpour,Suki Waterhouse,Jason Momoa,Jayda Fink,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",the bad batch,Suki Waterhouse Jason Momoa Jayda Fink Ana Lily Amirpour Thriller Romance Science Fiction,Thriller Romance Science Fiction
Sarah Harding,Rowan Atkinson,Lucy Cohu,Shaun Dingwall,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",maigrets night at the crossroads,Rowan Atkinson Lucy Cohu Shaun Dingwall Sarah Harding TV Movie Crime Mystery Thriller,TV Movie Crime Mystery Thriller
Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",war for the planet of the apes,Andy Serkis Woody Harrelson Steve Zahn Matt Reeves Drama Science Fiction War,Drama Science Fiction War
Xavier Manrique,Shiloh Fernandez,Ashley Benson,Addison Timlin,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",chronically metropolitan,Shiloh Fernandez Ashley Benson Addison Timlin Xavier Manrique Drama Comedy,Drama Comedy
Luis Prieto,Halle Berry,Sage Correa,Chris McGinn,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",kidnap,Halle Berry Sage Correa Chris McGinn Luis Prieto Drama Thriller,Drama Thriller
Derek Hui,Takeshi Kaneshiro,Zhou Dongyu,Ming Xi,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",this is not what i expected,Takeshi Kaneshiro Zhou Dongyu Ming Xi Derek Hui Comedy Romance,Comedy Romance
John Cameron Mitchell,Elle Fanning,Nicole Kidman,Ruth Wilson,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",how to talk to girls at parties,Elle Fanning Nicole Kidman Ruth Wilson John Cameron Mitchell Comedy Music Romance Science Fiction,Comedy Music Romance Science Fiction
Noah Baumbach,Adam Sandler,Ben Stiller,Dustin Hoffman,"[{'id': 35, 'name': 'Comedy'}]",the meyerowitz stories,Adam Sandler Ben Stiller Dustin Hoffman Noah Baumbach Comedy,Comedy
David Michôd,Brad Pitt,Anthony Hayes,John Magaro,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",war machine,Brad Pitt Anthony Hayes John Magaro David Michôd Comedy Drama War,Comedy Drama War
Josh Greenbaum,George Lazenby,Josh Lawson,Kassandra Clementi,"[{'id': 99, 'name': 'Documentary'}, {'id': 35, 'name': 'Comedy'}]",becoming bond,George Lazenby Josh Lawson Kassandra Clementi Josh Greenbaum Documentary Comedy,Documentary Comedy
